unique_id,Graduation_year,job_title_alumni,Industry,School,study_level_alumni
1491806,2024,senior_executives,MT,SBS,1
1491805,2024,early_others,PN,SBS,1
1491804,2024,early_others,PN,SBS,1
1491802,2009,early_others,,,1
1491801,2021,admin_sales,PN,SBS,1
1491800,2023,technical_professional,FP,SCES,1
1491798,2007,early_others,,SBS,1
1491797,2021,technical_professional,FP,SCES,1
1491795,2024,technical_professional,PN,SBS,0
1491794,2023,early_others,,SBS,0
1491792,2002,senior_executives,MT,SBS,1
1491791,2024,early_others,,SCES,1
1491789,2019,technical_professional,,SBS,1
1491788,2024,early_others,FP,SBS,1
1491787,2023,early_others,,SHSS,1
1491783,2024,early_others,,SI,1
1491782,2024,early_others,,SBS,1
1491780,2019,early_others,,SBS,1
1491779,2024,early_others,,FIT,1
1491777,2024,early_others,,SBS,1
1491775,2024,early_others,FP,SI,1
1491773,2021,senior_executives,,SBS,0
1491771,2023,technical_professional,FP,SI,1
1491769,2009,admin_sales,PN,SBS,1
1491768,2020,senior_executives,FP,SI,0
1491766,2024,technical_professional,FP,SBS,0
1491763,2020,technical_professional,FP,SBS,1
1491761,2023,early_others,FP,SLS,1
1491759,2018,early_others,,SBS,1
1491758,2023,early_others,PN,STH,1
1491757,2019,early_others,,,1
1491756,2014,senior_executives,MT,SBS,1
1491755,2024,early_others,,SBS,1
1491754,2024,senior_executives,FP,SBS,1
1491753,2022,early_others,,STH,0
1491752,2024,senior_executives,,SBS,1
1491750,2024,early_others,,SLS,1
1491749,2024,senior_executives,PN,SBS,1
1491748,2018,early_others,,SLS,1
1491747,2021,early_others,,SHSS,1
1491744,2024,early_others,,SBS,1
1491743,2024,senior_executives,,SBS,0
1491741,2024,senior_executives,,SBS,1
1491739,2024,early_others,,SBS,1
1491736,2024,early_others,,SBS,1
1491735,2023,early_others,,SBS,1
1491734,2024,early_others,,SBS,1
1491733,2024,early_others,,SI,1
1491732,2024,early_others,PN,SBS,1
1491730,2024,early_others,,SBS,1
1491729,2013,technical_professional,PN,FIT,1
1491728,2024,early_others,FP,SBS,1
1491727,2024,senior_executives,FP,SBS,1
1491726,2024,early_others,,SBS,1
1491725,2024,senior_executives,MT,SBS,1
1491723,2024,early_others,,SBS,1
1491720,2024,early_others,,SBS,1
